strategy,date,action,basket_drawdown_from_1y_high,st_gain,lt_gain,portfolio_value
monthly_gate_10pct,2024-07-31,basket_to_gld,-0.14560638472476772,27519.002189975232,0.0,1858270.597523142
monthly_gate_10pct,2025-06-30,gld_to_basket,0.0,517901.68368998263,0.0,2014743.542713805
monthly_gate_10pct,2025-11-28,basket_to_gld,-0.1286710181488927,481250.0671163986,0.0,2493497.6162203737
monthly_gate_10pct,2026-01-30,gld_to_basket,-0.040600587832606116,294935.51115224743,0.0,2297184.3508517826
monthly_gate_10pct,2026-03-31,basket_to_gld,-0.13506142816890654,-226176.87840629765,0.0,2068936.4649730395
monthly_gate_10pct,2026-04-30,gld_to_basket,-0.012778530830054313,-31878.636716167443,0.0,2035020.7704286152
monthly_gate_15pct,2018-10-31,basket_to_gld,-0.2341110822796829,0.0,404794.86219559604,682837.5011734004
monthly_gate_15pct,2019-02-28,gld_to_basket,-0.14664639642474964,42652.40172463283,0.0,597645.3525074434
monthly_gate_15pct,2019-05-31,basket_to_gld,-0.19231829490302144,-31986.268941001734,0.0,565093.4244828753
monthly_gate_15pct,2019-06-28,gld_to_basket,-0.09515786494679879,45223.94597902568,0.0,609707.0530914391
monthly_gate_15pct,2020-02-28,basket_to_gld,-0.16419663652043703,127431.59483429731,0.0,714251.4190061928
monthly_gate_15pct,2020-04-30,gld_to_basket,-0.09289539652297374,50158.365233166376,0.0,763645.3744551198
monthly_gate_15pct,2022-01-31,basket_to_gld,-0.19504573834721817,0.0,937949.2619035608,1644283.8679916565
monthly_gate_15pct,2023-03-31,gld_to_basket,-0.04679420740699891,0.0,120314.49189828616,1455516.86874447
monthly_gate_15pct,2024-08-30,basket_to_gld,-0.17627170554991956,0.0,2407254.993392203,3834640.276632485
monthly_gate_15pct,2024-09-30,gld_to_basket,-0.14640487244905276,195139.14890161017,0.0,4025749.646108561
monthly_gate_15pct,2025-01-31,basket_to_gld,-0.16359125070442104,-63687.05952981673,0.0,3096355.9979379354
